#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 03 11 08 19 108  2.3  3.1  0.60 11.13 99.00 999 9999.0  14.6 999.0 999.0 99.0 99.00
2008 03 11 09 19 138  1.6  3.1  0.67 11.13 99.00 999 9999.0  14.6 999.0 999.0 99.0 99.00
2008 03 11 10 19 156  1.4  4.7  0.69 11.13 99.00 999 9999.0  14.6 999.0 999.0 99.0 99.00
2008 03 11 11 19 135  1.1  2.6  0.65 10.67 99.00 999 9999.0  14.6 999.0 999.0 99.0 99.00
2008 03 11 12 19  19  0.7  1.6  0.59 10.24 99.00 999 9999.0  14.2 999.0 999.0 99.0 99.00
2008 03 11 13 19  25  0.3  0.9  0.62 10.67 99.00 999 9999.0  14.0 999.0 999.0 99.0 99.00
2008 03 11 14 19 314  0.5  1.1  0.60 10.67 99.00 999 9999.0  13.7 999.0 999.0 99.0 99.00
2008 03 11 15 19 165  0.7  1.3  0.56 11.13 99.00 999 9999.0  14.8 999.0 999.0 99.0 99.00
2008 03 11 16 19 196  0.6  1.2  0.51 10.67 99.00 999 9999.0  17.0 999.0 999.0 99.0 99.00
2008 03 11 17 19 252  0.7  3.3  0.48  9.48 99.00 999 9999.0  17.4 999.0 999.0 99.0 99.00
2008 03 11 18 19 342  1.4  2.2  0.48 10.67 99.00 999 9999.0  19.3 999.0 999.0 99.0 99.00
2008 03 11 19 19 331  1.3  2.4  0.52 11.13 99.00 999 9999.0  18.9 999.0 999.0 99.0 99.00
2008 03 11 20 19  10  0.8  1.4  0.56 11.13 99.00 999 9999.0  22.5 999.0 999.0 99.0 99.00
2008 03 11 21 19 302  0.9  1.9  0.58 11.64 99.00 999 9999.0  22.2 999.0 999.0 99.0 99.00
2008 03 11 23 19 336  2.3  3.4  0.56  9.85 99.00 999 9999.0  21.0 999.0 999.0 99.0 99.00
2008 03 12 00 19 357  2.0  2.5  0.56 10.24 99.00 999 9999.0  20.4 999.0 999.0 99.0 99.00
2008 03 12 01 19 301  0.1  0.6  0.50 10.67 99.00 999 9999.0  21.5 999.0 999.0 99.0 99.00
2008 03 12 02 19   4  1.2  1.8  0.44 11.64 99.00 999 9999.0  18.3 999.0 999.0 99.0 99.00
2008 03 12 03 19   8  1.8  2.6  0.45 10.67 99.00 999 9999.0  16.5 999.0 999.0 99.0 99.00
2008 03 12 04 20  23  1.3  2.3  0.52 17.07 99.00 999 9999.0  15.8 999.0 999.0 99.0 99.00
2008 03 12 05 19 123  0.7  1.3  0.63 17.07 99.00 999 9999.0  15.3 999.0 999.0 99.0 99.00
2008 03 12 06 20 116  0.8  2.1  0.68 10.67 99.00 999 9999.0  15.6 999.0 999.0 99.0 99.00
2008 03 12 07 19   8  0.6  2.0  0.71 17.07 99.00 999 9999.0  15.1 999.0 999.0 99.0 99.00
2008 03 12 08 19 112  0.7  1.2  0.72 11.64 99.00 999 9999.0  14.2 999.0 999.0 99.0 99.00
2008 03 12 09 19 103  1.0  2.5  0.73 10.67 99.00 999 9999.0  14.0 999.0 999.0 99.0 99.00
2008 03 12 10 19 131  2.2  4.3  0.74 11.13 99.00 999 9999.0  13.9 999.0 999.0 99.0 99.00
2008 03 12 11 19 147  0.8  2.2  0.73 11.64 99.00 999 9999.0  14.0 999.0 999.0 99.0 99.00
2008 03 12 12 19  18  0.9  2.5  0.70 11.13 99.00 999 9999.0  13.9 999.0 999.0 99.0 99.00
2008 03 12 13 19 233  0.5  1.2  0.79 11.64 99.00 999 9999.0  12.9 999.0 999.0 99.0 99.00
2008 03 12 14 19 124  0.9  2.0  0.83 14.22 99.00 999 9999.0  13.2 999.0 999.0 99.0 99.00
2008 03 12 15 19 127  1.4  3.8  0.96 14.22 99.00 999 9999.0  14.2 999.0 999.0 99.0 99.00
2008 03 12 18 19 313  0.8  2.0  1.10 13.47 99.00 999 9999.0  18.6 999.0 999.0 99.0 99.00
2008 03 12 18 55 283  1.7  3.2  1.21 13.47 99.00 999 9999.0  17.8 999.0 999.0 99.0 99.00
2008 03 12 21 19 283  2.2  3.3  1.26 12.80 99.00 999 9999.0  18.4 999.0 999.0 99.0 99.00
2008 03 12 22 19 267  2.0  2.6  1.23 11.13 99.00 999 9999.0  17.3 999.0 999.0 99.0 99.00
2008 03 12 23 19 257  1.8  2.3  1.21 12.80 99.00 999 9999.0  16.6 999.0 999.0 99.0 99.00
2008 03 13 00 19 278  1.8  2.9  1.38 11.64 99.00 999 9999.0  16.2 999.0 999.0 99.0 99.00
2008 03 13 01 19 298  2.8  4.8  1.38  7.76 99.00 999 9999.0  16.2 999.0 999.0 99.0 99.00
2008 03 13 02 19 319  2.8  4.3  1.19 11.64 99.00 999 9999.0  15.7 999.0 999.0 99.0 99.00
2008 03 13 03 19  67  1.0  3.4  1.15 12.80 99.00 999 9999.0  14.9 999.0 999.0 99.0 99.00
2008 03 13 04 19 159  1.7  3.0  0.98 12.80 99.00 999 9999.0  14.7 999.0 999.0 99.0 99.00
2008 03 13 05 19 147  1.9  3.2  0.96 13.47 99.00 999 9999.0  14.6 999.0 999.0 99.0 99.00
2008 03 13 07 19 154  0.5  1.3  1.00  9.14 99.00 999 9999.0  13.8 999.0 999.0 99.0 99.00
2008 03 13 22 19 243  5.2  6.1  1.09  7.76 99.00 999 9999.0  15.9 999.0 999.0 99.0 99.00
2008 03 13 23 19 235  5.5  6.8  1.11  7.76 99.00 999 9999.0  16.1 999.0 999.0 99.0 99.00
2008 03 14 00 19 237  4.4  5.4  1.02  7.76 99.00 999 9999.0  16.4 999.0 999.0 99.0 99.00
2008 03 14 01 19 241  1.6  2.3  1.09  8.26 99.00 999 9999.0  16.5 999.0 999.0 99.0 99.00
2008 03 14 02 19 221  1.8  3.0  1.18  8.00 99.00 999 9999.0  15.4 999.0 999.0 99.0 99.00
2008 03 14 03 19 201  2.8  4.1 99.00 99.00 99.00 999 9999.0  15.1 999.0 999.0 99.0 99.00
2008 03 14 04 19 167  1.8  3.5  1.09  6.24 99.00 999 9999.0  14.7 999.0 999.0 99.0 99.00
2008 03 14 05 19 160  1.9  3.3  0.94  7.31 99.00 999 9999.0  14.7 999.0 999.0 99.0 99.00
2008 03 14 07 19 158  1.6  3.7  0.91  7.53 99.00 999 9999.0  14.9 999.0 999.0 99.0 99.00
